date_time,tweet,splchar1,splchar2,is_sarcastic
27-03-2021 07:22,b'@hbowly Don\xe2\x80\x99t we know how un-politicians are driven and  most of them can\xe2\x80\x99t to do without it.  \nDoes anyone think a\xe2\x80\xa6 https://t.co/E7Q2vxuc1D',b'panthernoster',b'Geneva\xf0\x9f\x87\xa8\xf0\x9f\x87\xadand \xf0\x9f\x8c\x8d\xf0\x9f\x8c\x8f\xf0\x9f\x8c\x8e',1
27-03-2021 07:11,"b""Can't sleep? Late night snack? Bored? Then watch (and rewatch) the @AlphaBetasShow Pilot https://t.co/PMNSenO3T0\xe2\x80\xa6 https://t.co/K8FY0HNXTD""",b'buzzyngabe',b'United States',1
27-03-2021 07:00,b'#Sarcasm #EmotionLogic\n- popular and easy\n- appropriate at times\n- often harmful or at least unproductive\xe2\x80\xa6 https://t.co/9Uf72URQw5',b'allentien',"b'Baltimore, \xe5\x9c\xb0\xe7\x90\x83, Cape Breton           P(A|B)=P(B|A)P(A)/P(B)'",1
27-03-2021 06:52,"b""No , I'm not a smartass..\nI'm just a skilled, trained Professional in pointing out the obvious and I speak fluent S\xe2\x80\xa6 https://t.co/10AZ53AaOr""",b'hammidbakare',b'',1
27-03-2021 06:51,b'Eat healthy.\nhttps://t.co/OS39TRVVE7\n-\n-\n-\n#fluorik #teenagers #carotene #carrot #healthy #sarcasm https://t.co/Y8kTIwkXom',b'fluorik',b'',1
27-03-2021 06:49,"b""Never call Aish white, she ain't white \xf0\x9f\x98\x94\xe2\x9c\x8b\n\n#funny #meme #fanpage #sarcasm #fandom #lol #abcxyz #food #books\xe2\x80\xa6 https://t.co/JSEwNOYQiq""",b'ChowMinanFrens',"b"" In ur grandma's bathroom""",1
27-03-2021 06:37,b'Do you know why Corona came?\nTo tell you that spitting is an offense..\n#taunt #coronavirus #facts #sarcasm #sarcasmic',b'miss_forward',b'',1
27-03-2021 06:05,"b""I'm only 998,425 followers away from a million. SO CLOSE! #Sarcasm #ReadTheRoom""",b'DeannaKatee',"b'Sydney, New South Wales'",1
27-03-2021 06:02,"b'@MFWitches @cscviews Well, he is out and about sitting uninvited on the desks of women with much better things to b\xe2\x80\xa6 https://t.co/cAJsbqsYwD'",b'MettaBhavana1',"b'Balaclava, Melbourne'",1
27-03-2021 06:00,"b'It\'s said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""'",b'wit_twitt',b'',1
27-03-2021 05:51,"b'@POTUS We need to act now! If not, then let a day to day personal have an AR-15 and walk into the Congress room (wi\xe2\x80\xa6 https://t.co/FGhGg8whk7'",b'Drew31520949',b'',1
27-03-2021 05:20,b'How to Get My Rich Uncle to Give You Money (Sarcasm)\nU need money. U need it now! Instead of getting Internet peeps\xe2\x80\xa6 https://t.co/CaUhx9f1GD',b'shadowconn',"b'Indianapolis, IN'",1
27-03-2021 05:17,"b'@Kidd_Kream @Avereaux @aventadorslim You just have to add /sarcasm or #sarcasm, so we know it\xe2\x80\x99s sarcasm.'",b'awnyehk',b'\xc3\x81ras an Uachtar\xc3\xa1in ',1
27-03-2021 05:16,b'Biden\xe2\x80\x99s such a good guy.  #DW #DailyWire #MattWalsh #Sarcasm #Biden #BidenPressConference #SenileBiden\xe2\x80\xa6 https://t.co/8RZdTNrDTc',b'SoftwareNugget',"b'Phoenix, AZ'",1
27-03-2021 05:10,"b""@Gaddapa Don't you know \xf0\x9f\x98\x86\nHe even participated in Gokak agitation along with Rajkumar .\n#LieLikeModi #Sarcasm #Joke https://t.co/V2bWH880aV""",b'ThisisDeepakR',"b'Bengaluru, India'",1
27-03-2021 05:05,b'@melo15syr Can\xe2\x80\x99t prove there was actually weed in that bong just like you can\xe2\x80\x99t prove the white powder on Chris For\xe2\x80\xa6 https://t.co/GNJyFTmJvF',b'thegrayarea',b'spaceship earth',1
27-03-2021 04:47,b'Passion Gives...???\n\n#vidafact #vibes #logic #love #life #priceless #philosophy #sarcasm https://t.co/Rl6pvUCr7q',b'Bibiola1',b'Minna',1
27-03-2021 04:47,b'@Bluenatics Missouri used to be leaders in meth production untill Josh Hawley screwed that up too with his failure\xe2\x80\xa6 https://t.co/mQdfZKHiQ5',b'TimLaw43',b'St. Louis',1
27-03-2021 04:41,b'Don\xe2\x80\x99t ever say \xe2\x80\x9cDo your own DD\xe2\x80\x9d to your follower. It only shows how less confident you are in what you are tweeting\xe2\x80\xa6 https://t.co/rkaMMjv61V',b'BlueMoonTrades',b'',1
27-03-2021 04:29,b'The bestest truth of corporate system. #Life #Corporate #Truth #Sarcasm #memesdaily #Corporate #lifestyle\xe2\x80\xa6 https://t.co/YTqOk83aky',b'YWarankar',b'',1
27-03-2021 04:04,"b""Big feels for @Aramco - the Saudi oil giant is now only the second most profitable company in the world. \nWouldn't\xe2\x80\xa6 https://t.co/9km1Jvszbt""",b'Comms_4_Climate',b'Australia',1
27-03-2021 04:02,b'#Modi to give tips on economy to Bangladesh!\nNowadays he writes his #jokes himself. \n#Aatamnirbhar #BalNarendra\xe2\x80\xa6 https://t.co/0pqmXcmoHL',b'gsb2041',b'Jalandhar',1
27-03-2021 03:46,b'@AdityaTrivedi_ Announce elections in Maharashtra then may be #COVID19  cases come down. Can see all norms getting followed #Sarcasm',b'Raje_42',"b'Mumbai, India'",1
27-03-2021 03:40,b'Wow what a great period from the flames. Can\xe2\x80\x99t wait to hear that Nurse girl talk about how great they were again! #Sarcasm #Rebuild',b'Ogie488',b'',1
27-03-2021 03:32,b'@Breaking911 Must be a white male...\xf0\x9f\x98\x89 #sarcasm https://t.co/mpiOrvPjTQ',b'MisterMet74',b'The Center of The Universe',1
27-03-2021 03:22,b'@atrupar I remember when Graham raced to the border when children were ripped away from their parents... #Sarcasm',b'Ditzy_horse',b'',1
27-03-2021 03:08,b'@politicaphile Ballot design #sarcasm',b'GabeTheCentrist',"b'South Florida, USA'",1
27-03-2021 02:52,b'How dare these crooked refs call more penalties on Calgary that period? They have a vendetta on the Flames for sure. #Sarcasm',b'jshanny14',"b'Calgary, Alberta'",1
27-03-2021 02:49,"b'@getyorocksoff @jbook37 Come one, those kids go there for the quality Alabama education. \n\n#sarcasm\n#bagman'",b'IanSchulze1',b'',1
27-03-2021 02:37,"b""I'm shocked. SHOCKED I tell ya! #sarcasm\nNCAA: $13.5M budget gap between tournaments\nhttps://t.co/Ss3nlpi5Ne""",b'TheBoostress',b'City of Angels',1
27-03-2021 02:30,b'@G_Padraic Manliness. Lol. Sure he\xe2\x80\x99s a real toughguy. #sarcasm',b'hamacher_h',b'North Carolina',1
27-03-2021 02:26,"b'Warning, heavy #sarcasm about to hit. Scroll on by if that offends thee.\xe2\x98\xba\xef\xb8\x8f\n\xf0\x9f\x9a\xa7\n\nOf course car rental prices are on th\xe2\x80\xa6 https://t.co/HZiMax6jWS'",b'1RoguePoet',b'Vancouver Island',1
27-03-2021 02:08,"b""Watching the @NBA, and it dawned on me. I'm so sorry for all the white privileged I see on the court. Minority prof\xe2\x80\xa6 https://t.co/Bv0aZU0Epo""",b'NURSE_1973',"b'Arkansas, USA'",1
27-03-2021 02:01,b'This spells trouble for all of the other teams on the @BIGEASTMBB... not worried at all... #Sarcasm https://t.co/YJZLIIpRB3',b'RichNotter',b'',1
27-03-2021 01:56,"b""@majesticbeauty5 It's like when the Jewish people apologize to the Nazis.\nJust common courtesy. Sheesh!\n.\n.\n.\n.\n.\n.\n.\n\n.\n.\n\n.\n#Sarcasm""",b'JizzelEtBass',"b'Anaheim, CA'",1
27-03-2021 01:56,b'@TracyNovick I\xe2\x80\x99m sure this has NOTHING to do with the more highly transmissible variants quietly spreading througho\xe2\x80\xa6 https://t.co/Fzj04XcBRd',b'BrianSullivan05',b'Western Massachusetts',1
27-03-2021 01:43,b'IF JORDAN FUCKING BINNINGTON WOULD STOP MORE FUCKING SHOTS THE BLUES WOULD HAVE MORE FUCKING GOALS! I JUST CANT EVEN!!!\n\n#stlblues #sarcasm',b'WinningtonsMask',"b'St Louis, MO'",1
27-03-2021 01:37,"b'Hangry T Shirt, Sorry For What I Said When I Was Hangry Shirt, Sarcastic Shirt, Sarcasm Shirt, Funny Gift Shirt, Cu\xe2\x80\xa6 https://t.co/ZX9OHHy5uS'",b'NicoleH16514701',"b'Hobart, Tasmania'",1
27-03-2021 01:35,b'When your kid is in college to be a chemical engineer and you see this in the store. #sarcasm\n#Chemistry https://t.co/VMmRTjvXP4',b'HKamphaus',"b'Columbia, South Carolina, USA'",1
27-03-2021 01:28,b'I love having a reliable coparent #sike #sarcasm',b'jeanetteedith',"b'Houston, Texas '",1
27-03-2021 01:21,"b""I hope the course isn't provided by the same mob that gave Morrison his empathy training - because that's worked re\xe2\x80\xa6 https://t.co/KEtKRftFdH""",b'AaronDodd',"b'Melbourne, Australia'",1
27-03-2021 01:21,"b'@thehill Such a Christian thing to do, wonderful man.  #sarcasm'",b'Charles38356831',b'',1
27-03-2021 01:16,b'@WilliamBibbiani Or... People like it. You want to make other Artistic visions? Great! I\xe2\x80\x99m sure all the people that\xe2\x80\xa6 https://t.co/Wry9N4XBSf',b'locsphere',"b'New Hampshire, USA'",1
27-03-2021 01:15,b'the t-shirt I want to see .... \n\nDUterte\nSAra\n\n#spoof #sarcasm https://t.co/Jhiw1dEX5C',b'DeeJayBee42',b'',1
27-03-2021 01:13,b'What rape? JazeeraaMordis do not have rape cases! Why is she protesting? #Sarcasm https://t.co/E5kCBMXs3f',b'yasiph',b'Maldives',1
27-03-2021 01:13,b'I can sleep better now #sarcasm \xe2\x80\x94\xe2\x80\x94 Chrissy Teigen has quit Twitter https://t.co/fJ94UwZfxz via @Mashable',b'thegrayarea',b'spaceship earth',1
27-03-2021 01:08,b'For some reason I don\xe2\x80\x99t have friends to talk to atm so I feel like an activist on Twitter \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \n\n#IsExhaustingAF\xe2\x80\xa6 https://t.co/OZ7ebbxJz8',b'deanne1309',"b'Mumbai, India'",1
27-03-2021 01:06,b'@MSJaikar @RanvirShorey #Sarcasm could be a bit hard to get',b'suave_navigator',b'High Seas',1
27-03-2021 00:54,b'I downloaded Twitter to see some spicy sarcastic comments but here I am learning how to \xe2\x80\x9clie like Modi\xe2\x80\x9c\n\n#Trending\xe2\x80\xa6 https://t.co/1EVls3alLL',b'deanne1309',"b'Mumbai, India'",1
27-03-2021 00:42,b'@rodmickleburgh Just so happy that they got the election out of the way when they did. #sarcasm',b'Barb_Here',b'BC',1
27-03-2021 00:35,"b'In the current age of Trudeau\n\nIt is ""normal"" for those guilty of  making mistakes or bad judgement to escape conse\xe2\x80\xa6 https://t.co/ULZTn22gtz'",b'MrDarcyNo1',"b'Toronto,Canada'",1
27-03-2021 00:28,b'Maybe anger management rehab was the missing key ingredient.  #sarcasm.  Or maybe background checks don\xe2\x80\x99t work if c\xe2\x80\xa6 https://t.co/ZngJFLF4Lf',b'ECMED',b'',1
27-03-2021 00:12,"b'Want to make sure @SenTedCruz, @LindseyGrahamSC, and @SenRonJohnson don\xe2\x80\x99t miss their spectacular photo\xe2\x80\x94I mean story\xe2\x80\xa6 https://t.co/PInIwiMDL3'",b'shepersisted369',b'',1
27-03-2021 00:09,b'@XenocratesWerth I\xe2\x80\x99m sure their offices have 25-30 people jammed 3ft apart....#sarcasm',b'ChrisCerrone15',b'Western New York ',1
27-03-2021 00:07,b'@cktweeet @LomdonPonnu My motivation of this #Sarcasm https://t.co/IsPTpyDCsD \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',b'FemaleHumanBei2',b'Canada',1
27-03-2021 00:04,"b'It\'s said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""'",b'MyWitsEndTweet',b'',1
26-03-2021 23:57,b'@cktweeet @LomdonPonnu I think my #Sarcasm #backfire \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',b'FemaleHumanBei2',b'Canada',1
26-03-2021 23:34,b'@VillageMagIRE A senior accountant with independence and integrity!!!...is The Village moonlighting as Waterford Wh\xe2\x80\xa6 https://t.co/RO9aTyP5ZR',b'The_Urell',"b'Dublin City, Ireland'",1
26-03-2021 23:34,b'How\xe2\x80\x99s just in time supply chain model going for you ? #sarcasm #Suez #SuezBLOCKED #suezchannel',b'ChrisLaplante72',"b'Blainville, Qu\xc3\xa9bec'",1
26-03-2021 23:32,"b'@julcasagrande Oh yes, my god you\xe2\x80\x99re horribleness cannot be overstated.\n#sarcasm'",b'ricktweetsnow',b'',1
26-03-2021 23:28,"b""TIL why the potted plants the previous owner left in the backyard keep getting knocked over. Neighbor's dog likes t\xe2\x80\xa6 https://t.co/9Gpm1mb4HO""",b'skibaer',"b'Estero, FL'",1
26-03-2021 23:18,"b'And the victims who\xe2\x80\x99s names are well known to the public remain road kill. Well done senior bureaucrat, well done!\xe2\x80\xa6 https://t.co/VVGOkcXjZE'",b'tleehumphrey',"b'Calgary, Alberta'",1
26-03-2021 23:14,"b'Special events are unique and unexpected; if they were anticipated and common, how could they be special? #Wisdom\xe2\x80\xa6 https://t.co/YdBvHwwvEh'",b'ThePoetEnters',"b'Florida, USA'",1
26-03-2021 23:08,b'@Teresa_PS I remember womens aid refusing to support me when I got my conviction. (Not a domestic) so Well done. Th\xe2\x80\xa6 https://t.co/VqDFw2tu4r',b'LeonoraTheLion',b'Scotland',1
26-03-2021 23:07,"b""@orlandosentinel Typical American, ...not wanting to be left out of headlines\n'If you can do it, we can do it bette\xe2\x80\xa6 https://t.co/S3Tp6VhCYC""",b'super_spazzz',"b'Sydney, New South Wales'",1
26-03-2021 23:02,b'Absolutely.\xe2\x9d\xa4\xef\xb8\x8f \xf0\x9f\x98\x86\xf0\x9f\x9b\x8d\xf0\x9f\x92\xbb\n.\nShop here:\nhttps://t.co/eeddFN7PTi\n.\n.\n#TwoFatChimps #FunnyShirts #onlineshopping #Shopping\xe2\x80\xa6 https://t.co/FeXAjdpeE2',b'twofatchimps',b'',1
26-03-2021 22:54,"b""@VancouverSun Relax, beautiful people don't partake in illegal activities. #sarcasm""",b'NevynSage',"b'1.885640, 73.243362'",1
26-03-2021 22:35,"b'I guess I can use my stimulus money to get fake boobs, to become a cocktail waitress. I have nice legs and hair, bu\xe2\x80\xa6 https://t.co/g4aFzgkc2T'",b'CoolBlueShelby',"b'Las Vegas, NV'",1
26-03-2021 22:07,"b""What's been lost in all the outrage about the #Beacon is that those teachers didn't even need the vaccine!! #schoolsaresafe #sarcasm""",b'seanieflanagan',b'Ireland',1
26-03-2021 22:00,"b""Love how #CocaCola and #Delta posted #BlackLivesMatter but have DONE NOTHING to push against #GeorgiaGOP's\xe2\x80\xa6 https://t.co/oAccUwBylc""",b'kayfey',"b'""Backend of the cow"" (FL)'",1
26-03-2021 21:58,"b""@guelphgirlchris @MNmomto4 no it's true. i was standing in line all ready to vote for biden. then this trump guy sh\xe2\x80\xa6 https://t.co/k0bCreoSCL""",b'reggienewton22',"b'Chicago, IL'",1
26-03-2021 21:49,"b'Thanks, Trump voters!   #sarcasm https://t.co/5vfmLwtdWe'",b'MarkWhittier1',b'Pacific Northwest/Oregon',1
26-03-2021 21:43,"b'But turning the water hose on them is ok, I\xe2\x80\x99m sure. #sarcasm https://t.co/JR2tMNLYAL'",b'DocuBrooke',b'',1
26-03-2021 21:35,"b'@flindall_steve @criticalcarej Does the GTA not have these magical things called ""curbside"" pickup or ""delivery""?\xe2\x80\xa6 https://t.co/guxYIClAUQ'",b'bubbaray90',b'',1
26-03-2021 21:29,"b""Jesus Christ. I guess Kerry isn't going to be our champion after all #sarcasm https://t.co/5ZUkJqpswj""",b'walter_t_evans',"b'Eno and Occaneechi land, NC'",1
26-03-2021 21:27,b'@MerlinofCanada Clearly Alberta is slacking here......\nDo we still lead the country in variants?\n#Sarcasm',b'kls_73',"b'Alberta, Canada'",1
26-03-2021 21:22,b'#Sarcasm - exactly what it deserves. https://t.co/F5uTEGzmDZ',b'RobbieBarwick',b'',1
26-03-2021 21:15,"b""So American's can't even manufacture quality meth anymore?! Oh how far we've fallen. \n\n#sarcasm https://t.co/YA19uHbEXU""",b'CharlesKOrr',b'',1
26-03-2021 20:46,b'@2LarryJohnson7 Know who else makes hex patterns? BEES! Oh snaP! The bees are in on the zionist conspiracy to drink\xe2\x80\xa6 https://t.co/wZX1uygOxu',b'gabriel_skvor',"b'Chicago, IL'",1
26-03-2021 20:40,"b'@SoyBeanWalker @_whitneywebb You know you kinda got to be smart to be a successful smartass. Having to spell-out ""\xe2\x80\xa6 https://t.co/ifbAL0IBDl'",b'PoliticsDebunk1',b'',1
26-03-2021 20:40,"b'@prudhommeobrien @AriBerman @Cannonfor58 Yeah, too many white men in the chamber to invite the Black representative\xe2\x80\xa6 https://t.co/8HcR3tQB7n'",b'shepersisted369',b'',1
26-03-2021 20:32,b'@PoliticsDebunk1 @_whitneywebb Certainly a much more reasonable explanation than the fact that Covid hospitalizatio\xe2\x80\xa6 https://t.co/G2pV85nQrF',b'SoyBeanWalker',"b'Texas, USA'",1
26-03-2021 20:30,b'Someone in the house silently and secretly ate all of both the s\xe2\x80\x99mores #poptarts and #littledebbie #Swisscakerolls\xe2\x80\xa6 https://t.co/8HGhBY0tZc',b'AddictedtoTeac1',"b'Winter Haven, FL'",1
26-03-2021 20:21,"b'@celliottability Because, what could POSSIBLY go wrong. #sarcasm in case you missed it there.'",b'acmusiclady',b'',1
